YM,MCT_NM,TYPE,latitude,longitude,ADDR,LOCAL_UE_CNT_RAT
202301,희신이네,T1,33.2633891,126.5508375,제주 서귀포시 서홍동 1651-11번지,0.701183431952662
202301,흥미,T1,33.4900057,126.4950045,제주 제주시 연동 291-40번지,0.736842105263157
202301,흑미가,T1,33.2588976,126.5733142,제주 서귀포시 동홍동 62-1번지 1층,0.549504950495049
202301,흑돈시범이네,T1,33.4847834,126.466938,제주 제주시 노형동 2882-1번지,0.599656357388316
202301,휴계농장외도점,T1,33.4900167,126.4336584,제주 제주시 외도일동 485-7번지 1층,0.795121951219512
202301,훈이숯불갈비,T1,33.4840354,126.4872099,제주 제주시 연동 255-2번지 1층,0.551724137931034
202301,후년하우스,T1,33.5204175,126.5875415,제주 제주시 삼양이동 2181-19번지,0.827309236947791
202301,효자동솥뚜껑 제주한림협재점,T1,33.4082993,126.266785,제주 제주시 한림읍 한림리 885-16번지 1층,0.613157894736842
202301,효돈연탄구이,T1,33.261358,126.6173434,제주 서귀포시 하효동 701번지,0.663793103448275
202301,회달리다,T1,33.4766962,126.5497586,제주 제주시 아라일동 6118-4번지 아라일동,0.743589743589743
202301,황재돈,T1,33.4871301,126.4317189,제주 제주시 외도일동 551-1번지 고전빌라 102호,0.887029288702928
202301,황금토종닭,T1,33.4775929,126.4683391,제주 제주시 노형동 2264-1번지 1층,0.736040609137055
202301,황금뱃지,T1,33.3233381,126.8321662,제주 서귀포시 표선면 표선리 780-3번지 1층,0.733333333333333
202301,황금돼지등갈비,T1,33.4887035,126.4790161,제주 제주시 노형동 1068-8번지 천마빌딩 1층,0.833333333333333
202301,황금돈가,T1,33.4799219,126.4902657,제주 제주시 연동 1500번지 1층,0.636828644501278
202301,황궁갈비,T1,33.4903537,126.5347333,제주 제주시 이도이동 1997-10번지,0.896551724137931
202301,황구촌,T1,33.4909662,126.4952129,제주 제주시 연동 291-118번지,0.833652007648183
202301,화북신안,T1,33.5209592,126.5680588,제주 제주시 화북일동 1968-23번지 1층,0.904761904761904
202301,화끈한갈매기,T1,33.2585558,126.5616888,제주 서귀포시 동홍동 1460번지,0.788265306122448
202301,홍열이네시청점,T1,33.4988404,126.5291966,제주 제주시 광양10길 9-2번지,0.852331606217616
202301,홍어일번지,T1,33.4917395,126.4977148,제주 제주시 연동 311-74번지,0.816425120772946
202301,홍가네집밥,T1,33.4514566,126.9115926,제주 서귀포시 성산읍 고성리 1177번지,0.607407407407407
202301,홀스버드,T1,33.5067545,126.5409117,제주 제주시 일도이동 377-1번지 2층,0.863481228668942
202301,호박이넝쿨채로,T1,33.4912531,126.4792263,제주 제주시 노형동 1048-1번지 1층,0.840637450199203
202301,혜선이네,T1,33.5111882,126.5385451,제주 제주시 일도이동 161-21번지 혜선이네,0.838235294117647
202301,현옥식당,T1,33.4985297,126.5145075,제주 제주시 오라일동 2445-2번지,0.59481361426256
202301,헬로우프렌드,T1,33.4787099,126.489133,제주 제주시 연동 1496-2번지,0.611353711790393
202301,허니,T1,33.2502726,126.5619853,제주 서귀포시 서귀동 290-15번지,0.666666666666666
202301,향촌마을식당,T1,33.3828211,126.7313785,제주 서귀포시 표선면 가시리 2044-5번지 1층,0.538167938931297
202301,행운숯불갈비,T1,33.24414,126.5650677,제주 서귀포시 서귀동 575-4번지 1층,0.523341523341523
202301,행복미가,T1,33.5226942,126.5830524,제주 제주시 삼양이동 2119-16번지 1층,0.86052303860523
202301,해원앙,T1,33.498588,126.5390905,제주 제주시 이도이동 387-2번지,0.698205546492659
202301,해수육장,T1,33.500135,126.5331452,제주 제주시 이도이동 1148-12번지 1층,0.679902755267423
202301,해살가득돌담집,T1,33.5415692,126.6581341,제주 제주시 조천읍 함덕리 2936-1번지,0.508609271523178
202301,해봉이네동태마당,T1,33.4885448,126.4956814,제주 제주시 연동 292-64번지 1층,0.662522202486678
202301,해림,T1,33.5012166,126.5131204,제주 제주시 용담일동 2824번지 1층,0.788389513108614
202301,해루,T1,33.5197602,126.5840833,제주 제주시 삼양이동 2255-1번지,0.826347305389221
202301,한짓골갈비,T1,33.4916307,126.5384065,제주 제주시 이도이동 1991-7번지 1층,0.839357429718875
202301,한양동슈퍼.한양동식당,T1,33.3366248,126.2335015,제주 제주시 한경면 조수리 115-4번지,0.629084967320261
202301,한수풀더돈,T1,33.4229574,126.2840307,제주 제주시 한림읍 대림리 751-3번지 가동,0.506024096385542
202301,한림피그농원,T1,33.4173315,126.2730612,제주 제주시 한림읍 한림리 455번지 1층,0.727659574468085
202301,한림통큰장어,T1,33.4051887,126.2548457,제주 제주시 한림읍 옹포리 362-1번지 1층,0.708333333333333
202301,한림정육식당,T1,33.4145392,126.2658563,제주 제주시 한림읍 한림리 1064번지,0.629310344827586
202301,한림옹포왕코다리전문점,T1,33.4059211,126.2554769,제주 제주시 한림읍 옹포리 340-1번지 103호,0.665680473372781
202301,한라생얼큰이외도점,T1,33.4869009,126.4323844,제주 제주시 외도일동 559-5번지,0.825301204819277
202301,한라생얼큰이,T1,33.5024432,126.5422186,제주 제주시 이도이동 408-13번지,0.906976744186046
202301,한라산마루,T1,33.2566585,126.5689609,제주 서귀포시 동홍동 508-8번지 1층,0.831858407079646
202301,한라명동,T1,33.4943024,126.5162394,제주 제주시 오라일동 1286-7번지,0.821233411397345
202301,한데모아 정실점,T1,33.4700108,126.5091799,제주 제주시 오라이동 704-4번지 1층 101호,0.68076923076923
202301,한경식당,T1,33.2572177,126.5301923,제주 서귀포시 호근동 1308-4번지 1층,0.739130434782608
202301,하타나카연동점,T1,33.4886155,126.4948985,제주 제주시 연동 292-57번지 1층,0.579335793357933
